,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Dadra and Nagar Haveli and Daman and Diu,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Andaman and Nicobar Islands,inf,0.005729404131468796,0.003357970025140983,0.004822606660308946,0.004121916030123745,0.0016336321482678785,0.004638948662032686,0.0019290834634501984,0.0021883562481060923,0.0026334745832401786,0.0018527523581280722,0.0016251433943845531,0.0017717311475815981,0.005342159581665006,0.0012069148839662883,0.004248698676648977,0.0036944192775386405,0.001321692965889935,0.0024178583599301583,0.0022100477704885546,0.005369661978849494,0.006120293441325602,0.0027237159545937797,0.007302455411656528,0.005302644168016352,0.0081872548599735,0.0013809922806656664,0.005774264218319152,0.0019487082330090911,0.003910437115554365,0.00422659699079247,0.00635193553121671,0.007357941156249415,0.002741855906946351,0.001802563437738635,0.007572333925265431
Andhra Pradesh,0.005729404131468796,inf,0.002557900926746947,0.0046852079523458925,0.010019801331787901,0.00481973473934378,0.04588751922801774,0.006664222318776436,0.014943131373226852,0.020491056698794845,0.009418230442964418,0.004540154575373915,0.005737630394679313,0.014864358713363699,0.0029422954255385676,0.03970343440266065,0.012044521658928576,0.0031416351742349917,0.009715618219652214,0.015234386056831757,0.004967768669771344,0.004222262284923348,0.018897112366274088,0.005193876556658038,0.003766312398032275,0.025547601338265134,0.003915692662263698,0.0384878611979932,0.00815457831705127,0.005555250078526242,0.21130311050856876,0.07989097757636031,0.006196125540393538,0.010164996391731228,0.005238776683198254,0.010547114922144685
Arunachal Pradesh,0.003357970025140983,0.002557900926746947,inf,0.036486791890795865,0.007715167258113971,0.002595620734107058,0.0036914331338711733,0.0028057383791829627,0.0016619823748830014,0.001458380777498319,0.0017008283193793241,0.002750431324015447,0.0026447054697042146,0.00681262312027977,0.00202736990733245,0.0016457603047084393,0.0012610332559967697,0.002442872343176623,0.0011172441134301397,0.001527345989005694,0.03204912695293762,0.04267096698982521,0.002622660672572204,0.024882988988431397,0.06913669970986078,0.005465187526050502,0.002071951336294447,0.0017684693786821327,0.0023500986188334117,0.017358128285524813,0.0022469309832544387,0.0020214219871662435,0.019050384800627658,0.0040944437832827665,0.0030685929517525333,0.009918259851624025
Assam,0.004822606660308946,0.0046852079523458925,0.036486791890795865,inf,0.024561575870707945,0.004103242505324985,0.007929654449448058,0.004752885595667274,0.00266263791798756,0.0022779785309635387,0.002690601540477007,0.004330682234025738,0.004323875576156423,0.021060612442609882,0.0028407339661162953,0.0026185242259315093,0.001858058455262226,0.003491989550570471,0.0016326781178356052,0.0024049827394388816,1.7624250969333772,0.1426106301963748,0.004771019681410395,0.12557450335283896,0.13720808978897397,0.014146972901473423,0.0030767327928334282,0.0028235626301485917,0.003922873175079402,0.10433839026731492,0.003969065106559481,0.0033638320775026946,0.12690033247887128,0.008374192413819112,0.005069528584536929,0.04071644659427288
Bihar,0.004121916030123745,0.010019801331787901,0.007715167258113971,0.024561575870707945,inf,0.009937503043360298,0.03136713665093075,0.013724707080439129,0.005753865734693854,0.004229594216960416,0.00600378118138803,0.010341635943389871,0.011385475776261726,0.21404109589041098,0.005297595050774798,0.004462044731998437,0.0027435790647358438,0.006721274783860604,0.0025742450897562035,0.00486882888111391,0.024337413906398334,0.013854848296338616,0.015081682391834161,0.01749444551354944,0.012483864604998072,0.03664547336790222,0.006470410489311844,0.004498415433163667,0.010650761529449345,0.06556775115727118,0.008856729121368189,0.005675819872180537,0.024602787987934784,0.044937155388189653,0.013587510360476644,0.053217248774672925
Chandigarh,0.0016336321482678785,0.00481973473934378,0.002595620734107058,0.004103242505324985,0.009937503043360298,inf,0.009026557938767447,0.2149890355591862,0.008484952361234971,0.004195626981909296,0.014272257585704901,1.3003901170351213,0.6664445184938367,0.00777420596203855,0.058962264150943446,0.0031240842528033976,0.0020381854035352327,0.07934366916863701,0.0023740444767736553,0.006367248909131082,0.0039538866112305395,0.003049416402688855,0.018637765704647338,0.0032909708594403286,0.00298273740725551,0.0053354675203414696,0.17001020061203612,0.0027321433938138806,0.06132222992156893,0.006370542610966895,0.00561542850211814,0.003159317094654088,0.0037505874357571228,0.031087374173852975,0.4006249749609379,0.004905938442246802
Chhattisgarh,0.004638948662032686,0.04588751922801774,0.0036914331338711733,0.007929654449448058,0.03136713665093075,0.009026557938767447,inf,0.014147233084153417,0.014081076019505137,0.010395010395010403,0.011845393918574766,0.008567159678148948,0.011300954591634358,0.05297367737970986,0.004663826707123811,0.011161312213154284,0.005319100837917954,0.005285579880968743,0.005055098041098962,0.011718754577638529,0.008287578990987251,0.0062570939803001675,0.04777625424611469,0.007849755676354557,0.005580864777320707,0.05575752168967582,0.006441431286031757,0.01049199041451756,0.015716721806165682,0.011309696820957327,0.04026380847311596,0.014950342437593541,0.009988164025629609,0.033972930369081944,0.010717412902264705,0.02073587472213926
Delhi,0.0019290834634501984,0.006664222318776436,0.0028057383791829627,0.004752885595667274,0.013724707080439129,0.2149890355591862,0.014147233084153417,inf,0.011771006833069475,0.0054095107854826045,0.019941849566663596,0.1412988187418753,0.9975062344139594,0.010881428339809594,0.02560727656370835,0.003995007838205379,0.0024731973421042806,0.03147663174858983,0.0028660152214068416,0.008455765775288027,0.004620309865701454,0.0035059056981485348,0.03653301671385519,0.0038701832183437373,0.0033826649920219876,0.007257568192110735,0.05824179664294271,0.0034583503945286144,0.1616422856219189,0.007570888118172488,0.007930754992013732,0.0040838979662596525,0.004498625894720456,0.06591957811469992,0.24800972198110147,0.00626998557903317
Dadra and Nagar Haveli and Daman and Diu,0.0021883562481060923,0.014943131373226852,0.0016619823748830014,0.00266263791798756,0.005753865734693854,0.008484952361234971,0.014081076019505137,0.011771006833069475,inf,0.0419116753353982,0.10892178326743562,0.007377999248919683,0.010525230028902287,0.006333178381568933,0.005126530461587679,0.013122446863932036,0.006521744801517224,0.004908560873763105,0.0103260981805415,0.35587188612099585,0.0027039976983571604,0.0022651980632556585,0.03663943135602539,0.002578018576170652,0.0021232269992942417,0.006410252301120326,0.007923371489649307,0.008614741027962593,0.021378027663167803,0.0034284711213020554,0.02742483538242561,0.009807671560694774,0.0029505557666842123,0.010320290206560606,0.00793638196219108,0.004235556223832208
Goa,0.0026334745832401786,0.020491056698794845,0.001458380777498319,0.0022779785309635387,0.004229594216960416,0.004195626981909296,0.010395010395010403,0.0054095107854826045,0.0419116753353982,inf,0.016000768036865776,0.0038264681392956865,0.004913249215231269,0.005013584306678945,0.002836852070079325,0.045158959537572194,0.01711598992895154,0.0027879227187822355,0.03864211604227448,0.08614971096771988,0.0023480654875464475,0.002052288198727172,0.013119003795327796,0.002355132835379746,0.0019042725973840257,0.005965889430591649,0.0038840230710970435,0.020004961230385136,0.007685633015634882,0.0027121225640732195,0.037496719037084174,0.020126839341530287,0.0026629562809152565,0.005714233469865416,0.004123185952800241,0.003756009615384616
Gujarat,0.0018527523581280722,0.009418230442964418,0.0017008283193793241,0.002690601540477007,0.00600378118138803,0.014272257585704901,0.011845393918574766,0.019941849566663596,0.10892178326743562,0.016000768036865776,inf,0.01178119956173938,0.018315387306337663,0.006112824399949869,0.008097821685966476,0.007374228840019053,0.004215238508732922,0.007413722800904471,0.0061130037649990195,0.04785856835878611,0.0026993576878381774,0.0022242230344096206,0.04216118219954879,0.002494409404921218,0.002108332446076763,0.005550344398869947,0.014188422247446085,0.005430857043550042,0.047375178249108085,0.003600872131230185,0.014412461590789844,0.006173628358685333,0.002847246641316678,0.012910922382116795,0.012259514302562353,0.00399073829456597
Himachal Pradesh,0.0016251433943845531,0.004540154575373915,0.002750431324015447,0.004330682234025738,0.010341635943389871,1.3003901170351213,0.008567159678148948,0.1412988187418753,0.007377999248919683,0.0038264681392956865,0.01178119956173938,inf,0.276296521426796,0.007859627060695963,0.06306363120388485,0.002927674723627507,0.001929390110139235,0.11106668443733617,0.002213901396816809,0.005639582197192506,0.004150354045951887,0.0031804005905367826,0.016055358877409318,0.0034121156720861258,0.0031248388754954825,0.005280667476369011,0.11869436201780409,0.0025906064609725133,0.04332586684228092,0.00682777950368871,0.005189817577912137,0.0029953885992514526,0.0038816846977390313,0.03064927422518628,0.6232471174820771,0.005007691814627265
Haryana,0.0017717311475815981,0.005737630394679313,0.0026447054697042146,0.004323875576156423,0.011385475776261726,0.6664445184938367,0.011300954591634358,0.9975062344139594,0.010525230028902287,0.004913249215231269,0.018315387306337663,0.276296521426796,inf,0.009046106194049828,0.036121295309649845,0.0035997107272459587,0.002282766256149202,0.043938082454205545,0.0026698263171187663,0.0076679001762083475,0.0041905071603195836,0.0032141143331178824,0.026871896295977825,0.003511894435262788,0.0031194532222392074,0.006179274343096791,0.09973172166871105,0.003117641392051822,0.11825363038645297,0.0067621939261974205,0.0068062353283089684,0.00363964063644212,0.004041223714870649,0.04322548574639595,0.32857987776828484,0.005465624772834969
Jharkhand,0.005342159581665006,0.014864358713363699,0.00681262312027977,0.021060612442609882,0.21404109589041098,0.00777420596203855,0.05297367737970986,0.010881428339809594,0.006333178381568933,0.005013584306678945,0.006112824399949869,0.007859627060695963,0.009046106194049828,inf,0.004298514648263292,0.00572159300592471,0.003369442525734115,0.005205240011014287,0.003028047593640858,0.005474694320442619,0.022418609239157252,0.013947915693218417,0.015941844152531557,0.019111031269469343,0.011979921651312425,0.10646792653713066,0.005355770440967355,0.005944861410418369,0.009513625414318381,0.03666092312204432,0.01197482890963196,0.007786585270895304,0.028240131486052176,0.030731690826897643,0.009973172166871117,0.10124224231318299
Jammu and Kashmir,0.0012069148839662883,0.0029422954255385676,0.00202736990733245,0.0028407339661162953,0.005297595050774798,0.058962264150943446,0.004663826707123811,0.02560727656370835,0.005126530461587679,0.002836852070079325,0.008097821685966476,0.06306363120388485,0.036121295309649845,0.004298514648263292,inf,0.002131297290822762,0.001498189063968928,0.2425183101324148,0.0017649941993465644,0.00410203062822189,0.0027254810951092058,0.0021920037456960016,0.007919506139597141,0.0022981442255564197,0.0021787323046085646,0.003178710270095012,0.1339405304045005,0.0018828810339276342,0.01735770586673102,0.004069465780879618,0.003361290305232051,0.0021114682073064828,0.0025394574550725523,0.010655596212574876,0.03636879411989337,0.003065729861373828
Karnataka,0.004248698676648977,0.03970343440266065,0.0016457603047084393,0.0026185242259315093,0.004462044731998437,0.0031240842528033976,0.011161312213154284,0.003995007838205379,0.013122446863932036,0.045158959537572194,0.007374228840019053,0.002927674723627507,0.0035997107272459587,0.00572159300592471,0.002131297290822762,inf,0.052878437759434814,0.002176174372500119,0.03364907380924341,0.016923537764028353,0.0027459423895794784,0.002467545606411673,0.008916494355413246,0.0028931192077945246,0.0022510086206877166,0.008061785524257917,0.0027673280396192817,0.17525411847178457,0.00505080860920429,0.0029424114179686612,0.044395116537180895,0.12067821154890455,0.003271881937412169,0.004901807002133266,0.0032160493727899724,0.004680946674655484
Kerala,0.0036944192775386405,0.012044521658928576,0.0012610332559967697,0.001858058455262226,0.0027435790647358438,0.0020381854035352327,0.005319100837917954,0.0024731973421042806,0.006521744801517224,0.01711598992895154,0.004215238508732922,0.001929390110139235,0.002282766256149202,0.003369442525734115,0.001498189063968928,0.052878437759434814,inf,0.0015140162323736338,0.04586819316013525,0.008213471407263346,0.0019449077646941663,0.0018144997034200236,0.004512207778143766,0.0020800433980254548,0.0016703972204590255,0.0045371124455262915,0.001865843953872606,0.05204944697462578,0.002998700363262562,0.0019951716845234536,0.012091415941080942,0.02809414911250575,0.002285315204384878,0.0028818369058985147,0.002075801633074661,0.0030044095719287183
Ladakh,0.001321692965889935,0.0031416351742349917,0.002442872343176623,0.003491989550570471,0.006721274783860604,0.07934366916863701,0.005285579880968743,0.03147663174858983,0.004908560873763105,0.0027879227187822355,0.007413722800904471,0.11106668443733617,0.043938082454205545,0.005205240011014287,0.2425183101324148,0.002176174372500119,0.0015140162323736338,inf,0.0017335454037210552,0.003932151512089203,0.0033234019006535462,0.002619000851175278,0.008481958450278337,0.002737637172732585,0.0026132524827858538,0.003669110783663357,0.0808211428109591,0.0019510154645289782,0.017605354844729578,0.005210371348376375,0.003515717012906197,0.0022102138846078275,0.003038474685707773,0.0137794950090669,0.059591559451519255,0.0036587953782096787
Lakshadweep,0.0024178583599301583,0.009715618219652214,0.0011172441134301397,0.0016326781178356052,0.0025742450897562035,0.0023740444767736553,0.005055098041098962,0.0028660152214068416,0.0103260981805415,0.03864211604227448,0.0061130037649990195,0.002213901396816809,0.0026698263171187663,0.003028047593640858,0.0017649941993465644,0.03364907380924341,0.04586819316013525,0.0017335454037210552,inf,0.01479552583298811,0.0016888879280993125,0.0015392607700152015,0.0052989396821695985,0.0017421190020584876,0.0014332939273056264,0.0037198326224113236,0.0022524262572536577,0.019111213886972483,0.00367764689441108,0.001829158097060983,0.012118494640595742,0.014632675935979108,0.0019206760779794485,0.003049761432411949,0.0023449121971076915,0.0025302203189342723
Maharashtra,0.0022100477704885546,0.015234386056831757,0.001527345989005694,0.0024049827394388816,0.00486882888111391,0.006367248909131082,0.011718754577638529,0.008455765775288027,0.35587188612099585,0.08614971096771988,0.04785856835878611,0.005639582197192506,0.0076679001762083475,0.005474694320442619,0.00410203062822189,0.016923537764028353,0.008213471407263346,0.003932151512089203,0.01479552583298811,inf,0.002452610656887618,0.002089041203204174,0.02272469037609363,0.002377438300721219,0.001954578717921456,0.0058377082091604195,0.006025443035762815,0.010218669304445847,0.01380052718013828,0.003006856836329569,0.028427423366773452,0.01121214499545908,0.0027033076591193917,0.007841630431799376,0.006025548324897567,0.0038300602276970836
Meghalaya,0.005369661978849494,0.004967768669771344,0.03204912695293762,1.7624250969333772,0.024337413906398334,0.0039538866112305395,0.008287578990987251,0.004620309865701454,0.0027039976983571604,0.0023480654875464475,0.0026993576878381774,0.004150354045951887,0.0041905071603195836,0.022418609239157252,0.0027254810951092058,0.0027459423895794784,0.0019449077646941663,0.0033234019006535462,0.0016888879280993125,0.002452610656887618,inf,0.20474601257140643,0.0048129819599810175,0.22624434389140244,0.15491386788945447,0.015824462403450996,0.0029774089098961606,0.0029885600908283183,0.0038703135340993964,0.08182502536575756,0.004148177892119999,0.003573130913085022,0.2322340919647008,0.008188284693557547,0.004857443741086591,0.05010999143119143
Manipur,0.006120293441325602,0.004222262284923348,0.04267096698982521,0.1426106301963748,0.013854848296338616,0.003049416402688855,0.0062570939803001675,0.0035059056981485348,0.0022651980632556585,0.002052288198727172,0.0022242230344096206,0.0031804005905367826,0.0032141143331178824,0.013947915693218417,0.0021920037456960016,0.002467545606411673,0.0018144997034200236,0.002619000851175278,0.0015392607700152015,0.002089041203204174,0.20474601257140643,inf,0.003743825028593468,0.4163024020648663,0.927557740469344,0.011922674303536999,0.00237194351358839,0.002738602075093566,0.0030240121686249686,0.030917539829520682,0.003494231024578426,0.0032240831271800894,0.1375042970092828,0.005753044798959861,0.0036483607732627726,0.030079711234772207
Madhya Pradesh,0.0027237159545937797,0.018897112366274088,0.002622660672572204,0.004771019681410395,0.015081682391834161,0.018637765704647338,0.04777625424611469,0.03653301671385519,0.03663943135602539,0.013119003795327796,0.04216118219954879,0.016055358877409318,0.026871896295977825,0.015941844152531557,0.007919506139597141,0.008916494355413246,0.004512207778143766,0.008481958450278337,0.0052989396821695985,0.02272469037609363,0.0048129819599810175,0.003743825028593468,inf,0.004355487958382438,0.003485814477981856,0.013049974878798361,0.013156077120924084,0.007157145873368617,0.06916585973163647,0.006958700114818561,0.027545401708365794,0.009023283681210992,0.005197672690076288,0.04604793590127318,0.020006642205212144,0.008307545328044199
Mizoram,0.007302455411656528,0.005193876556658038,0.024882988988431397,0.12557450335283896,0.01749444551354944,0.0032909708594403286,0.007849755676354557,0.0038701832183437373,0.002578018576170652,0.002355132835379746,0.002494409404921218,0.0034121156720861258,0.003511894435262788,0.019111031269469343,0.0022981442255564197,0.0028931192077945246,0.0020800433980254548,0.002737637172732585,0.0017421190020584876,0.002377438300721219,0.22624434389140244,0.4163024020648663,0.004355487958382438,inf,0.15311121999020216,0.017011634256668105,0.002536651442530256,0.0032433908613570387,0.003376405006533341,0.034438582232446543,0.004192807071756119,0.0038757496668793156,0.6031363088057891,0.006634128477858927,0.00395166950133092,0.05281476278249276
Nagaland,0.005302644168016352,0.003766312398032275,0.06913669970986078,0.13720808978897397,0.012483864604998072,0.00298273740725551,0.005580864777320707,0.0033826649920219876,0.0021232269992942417,0.0019042725973840257,0.002108332446076763,0.0031248388754954825,0.0031194532222392074,0.011979921651312425,0.0021787323046085646,0.0022510086206877166,0.0016703972204590255,0.0026132524827858538,0.0014332939273056264,0.001954578717921456,0.15491386788945447,0.927557740469344,0.003485814477981856,0.15311121999020216,inf,0.00991055722107977,0.0023278307294606767,0.002476286461770472,0.0028891563605644042,0.02985965959988056,0.0031669893300962527,0.002894736385041627,0.07730125846448828,0.005426792835982252,0.0035673312366938576,0.022943094243348262
Odisha,0.0081872548599735,0.025547601338265134,0.005465187526050502,0.014146972901473423,0.03664547336790222,0.0053354675203414696,0.05575752168967582,0.007257568192110735,0.006410252301120326,0.005965889430591649,0.005550344398869947,0.005280667476369011,0.006179274343096791,0.10646792653713066,0.003178710270095012,0.008061785524257917,0.0045371124455262915,0.003669110783663357,0.0037198326224113236,0.0058377082091604195,0.015824462403450996,0.011922674303536999,0.013049974878798361,0.017011634256668105,0.00991055722107977,inf,0.0039645882973282625,0.009094216078574028,0.007113544259405349,0.01695303162588051,0.01651009592365734,0.012681584437159592,0.02393369409388227,0.015432765613328988,0.006385594099711053,0.08229910787767065
Punjab,0.0013809922806656664,0.003915692662263698,0.002071951336294447,0.0030767327928334282,0.006470410489311844,0.17001020061203612,0.006441431286031757,0.05824179664294271,0.007923371489649307,0.0038840230710970435,0.014188422247446085,0.11869436201780409,0.09973172166871105,0.005355770440967355,0.1339405304045005,0.0027673280396192817,0.001865843953872606,0.0808211428109591,0.0022524262572536577,0.006025443035762815,0.0029774089098961606,0.00237194351358839,0.013156077120924084,0.002536651442530256,0.0023278307294606767,0.0039645882973282625,inf,0.0023875636584160427,0.04047911075489495,0.004478952283481849,0.004641310260451765,0.002704169531959633,0.0028453994869744696,0.01577341800504115,0.06301475175338525,0.0036088028806908106
Puducherry,0.005774264218319152,0.0384878611979932,0.0017684693786821327,0.0028235626301485917,0.004498415433163667,0.0027321433938138806,0.01049199041451756,0.0034583503945286144,0.008614741027962593,0.020004961230385136,0.005430857043550042,0.0025906064609725133,0.003117641392051822,0.005944861410418369,0.0018828810339276342,0.17525411847178457,0.05204944697462578,0.0019510154645289782,0.019111213886972483,0.010218669304445847,0.0029885600908283183,0.002738602075093566,0.007157145873368617,0.0032433908613570387,0.002476286461770472,0.009094216078574028,0.0023875636584160427,inf,0.0041649156667051225,0.003059278102146238,0.029750394192723066,0.37278657968312995,0.003655637486515265,0.004458608949676573,0.0028603259913532347,0.005201647049521762
Rajasthan,0.0019487082330090911,0.00815457831705127,0.0023500986188334117,0.003922873175079402,0.010650761529449345,0.06132222992156893,0.015716721806165682,0.1616422856219189,0.021378027663167803,0.007685633015634882,0.047375178249108085,0.04332586684228092,0.11825363038645297,0.009513625414318381,0.01735770586673102,0.00505080860920429,0.002998700363262562,0.017605354844729578,0.00367764689441108,0.01380052718013828,0.0038703135340993964,0.0030240121686249686,0.06916585973163647,0.003376405006533341,0.0028891563605644042,0.007113544259405349,0.04047911075489495,0.0041649156667051225,inf,0.005838604620204614,0.01060736724084345,0.004911282591271274,0.003916110644223695,0.03936620411376823,0.05032763289011467,0.005575550097711516
Sikkim,0.003910437115554365,0.005555250078526242,0.017358128285524813,0.10433839026731492,0.06556775115727118,0.006370542610966895,0.011309696820957327,0.007570888118172488,0.0034284711213020554,0.0027121225640732195,0.003600872131230185,0.00682777950368871,0.0067621939261974205,0.03666092312204432,0.004069465780879618,0.0029424114179686612,0.0019951716845234536,0.005210371348376375,0.001829158097060983,0.003006856836329569,0.08182502536575756,0.030917539829520682,0.006958700114818561,0.034438582232446543,0.02985965959988056,0.01695303162588051,0.004478952283481849,0.003059278102146238,0.005838604620204614,inf,0.004876162538101122,0.0036952921239282763,0.045732265027622176,0.015391506043474898,0.008326977074166731,0.04211927335829604
Telangana,0.00422659699079247,0.21130311050856876,0.0022469309832544387,0.003969065106559481,0.008856729121368189,0.00561542850211814,0.04026380847311596,0.007930754992013732,0.02742483538242561,0.037496719037084174,0.014412461590789844,0.005189817577912137,0.0068062353283089684,0.01197482890963196,0.003361290305232051,0.044395116537180895,0.012091415941080942,0.003515717012906197,0.012118494640595742,0.028427423366773452,0.004148177892119999,0.003494231024578426,0.027545401708365794,0.004192807071756119,0.0031669893300962527,0.01651009592365734,0.004641310260451765,0.029750394192723066,0.01060736724084345,0.004876162538101122,inf,0.04751835396421868,0.004944999245887615,0.010989566505559623,0.00594217667873919,0.008018153098615274
Tamil Nadu,0.00635193553121671,0.07989097757636031,0.0020214219871662435,0.0033638320775026946,0.005675819872180537,0.003159317094654088,0.014950342437593541,0.0040838979662596525,0.009807671560694774,0.020126839341530287,0.006173628358685333,0.0029953885992514526,0.00363964063644212,0.007786585270895304,0.0021114682073064828,0.12067821154890455,0.02809414911250575,0.0022102138846078275,0.014632675935979108,0.01121214499545908,0.003573130913085022,0.0032240831271800894,0.009023283681210992,0.0038757496668793156,0.002894736385041627,0.012681584437159592,0.002704169531959633,0.37278657968312995,0.004911282591271274,0.0036952921239282763,0.04751835396421868,inf,0.004436490310261514,0.005523882228621334,0.003347336357093843,0.006624898887480735
Tripura,0.007357941156249415,0.006196125540393538,0.019050384800627658,0.12690033247887128,0.024602787987934784,0.0037505874357571228,0.009988164025629609,0.004498625894720456,0.0029505557666842123,0.0026629562809152565,0.002847246641316678,0.0038816846977390313,0.004041223714870649,0.028240131486052176,0.0025394574550725523,0.003271881937412169,0.002285315204384878,0.003038474685707773,0.0019206760779794485,0.0027033076591193917,0.2322340919647008,0.1375042970092828,0.005197672690076288,0.6031363088057891,0.07730125846448828,0.02393369409388227,0.0028453994869744696,0.003655637486515265,0.003916110644223695,0.045732265027622176,0.004944999245887615,0.004436490310261514,inf,0.008142520158844284,0.004550741679878984,0.10519118497869832
Uttar Pradesh,0.002741855906946351,0.010164996391731228,0.0040944437832827665,0.008374192413819112,0.044937155388189653,0.031087374173852975,0.033972930369081944,0.06591957811469992,0.010320290206560606,0.005714233469865416,0.012910922382116795,0.03064927422518628,0.04322548574639595,0.030731690826897643,0.010655596212574876,0.004901807002133266,0.0028818369058985147,0.0137794950090669,0.003049761432411949,0.007841630431799376,0.008188284693557547,0.005753044798959861,0.04604793590127318,0.006634128477858927,0.005426792835982252,0.015432765613328988,0.01577341800504115,0.004458608949676573,0.03936620411376823,0.015391506043474898,0.010989566505559623,0.005523882228621334,0.008142520158844284,inf,0.05002476225731732,0.013108221476510086
Uttarakhand,0.001802563437738635,0.005238776683198254,0.0030685929517525333,0.005069528584536929,0.013587510360476644,0.4006249749609379,0.010717412902264705,0.24800972198110147,0.00793638196219108,0.004123185952800241,0.012259514302562353,0.6232471174820771,0.32857987776828484,0.009973172166871117,0.03636879411989337,0.0032160493727899724,0.002075801633074661,0.059591559451519255,0.0023449121971076915,0.006025548324897567,0.004857443741086591,0.0036483607732627726,0.020006642205212144,0.00395166950133092,0.0035673312366938576,0.006385594099711053,0.06301475175338525,0.0028603259913532347,0.05032763289011467,0.008326977074166731,0.00594217667873919,0.003347336357093843,0.004550741679878984,0.05002476225731732,inf,0.006038074892658125
West Bengal,0.007572333925265431,0.010547114922144685,0.009918259851624025,0.04071644659427288,0.053217248774672925,0.004905938442246802,0.02073587472213926,0.00626998557903317,0.004235556223832208,0.003756009615384616,0.00399073829456597,0.005007691814627265,0.005465624772834969,0.10124224231318299,0.003065729861373828,0.004680946674655484,0.0030044095719287183,0.0036587953782096787,0.0025302203189342723,0.0038300602276970836,0.05010999143119143,0.030079711234772207,0.008307545328044199,0.05281476278249276,0.022943094243348262,0.08229910787767065,0.0036088028806908106,0.005201647049521762,0.005575550097711516,0.04211927335829604,0.008018153098615274,0.006624898887480735,0.10519118497869832,0.013108221476510086,0.006038074892658125,inf
