,Hebei,Henan,Tianjin,Shandong,Shanxi,Inner Mongolia,Liaoning,Jiangsu,Heilongjiang,Anhui,Sichuan,Guangdong,Shaanxi,Hubei,Shanghai,Jilin,Hunan,Zhejiang,Jiangxi,Fujian,Gansu,Hainan,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.6569160062,0.8744375411999998,0.7648350155999998,0.7207557389999999,0.4598540747999999,0.3621648672,0.34072089479999995,0.321659586,0.3049809408,0.303789609,0.29306762280000004,0.274006314,0.2597103324,0.2573276688,0.220396383,0.190613088,0.17989110179999998,0.17750843819999998,0.13104649799999998,0.11436785279999995,0.1107938574,0.10602853019999997,0.0988805394,0.0905412168,0.07267123979999998,0.06790591259999998,0.0524185992,0.0381226176,0.0214439724,0.0047653272,
Tianjin,1.9139623812,0.28989723096000003,,0.41963024592,0.186858252,0.11371659336,0.13613958359999995,0.10944554759999997,0.14521555584,0.12866525352,0.08809031880000001,0.06513344784,0.08114986944000001,0.07687882368,0.04591374192,0.08595479592000001,0.04431209976,0.059794640640000014,0.03630388896,0.04858314552,0.08435315376000001,0.029363439600000006,0.03630388896,0.03897329256,0.048049264800000005,0.03523612752,0.025626274559999995,0.01708418304,0.00854209152,0.0026694035999999997,0.9230797648799999
Hebei,,0.8297807572799999,1.7358914951999995,1.33946804736,0.7275970735199999,0.3878055468,0.3939611904,0.26099928864,0.20682962496,0.21175413984000002,0.14281093152000002,0.10218368376,0.19944285264000003,0.19328720904,0.06524982216,0.123112872,0.08987239656,0.11449497095999998,0.07140546576000001,0.05909417855999999,0.061556436,0.0554007924,0.06278756472,0.05170740623999999,0.03816499032,0.04678289136,0.01600467336,0.01969805952,0.00984902976,0.00123112872,4.66720897752
Shanxi,0.61480580148,0.5028682759199999,0.07587254772,0.19189290096,,0.27763228224000003,0.03980756988,0.10070974944,0.02313602352,0.07212995568,0.08914173767999999,0.05137558164,0.60085614024,0.07178972003999999,0.03164191452,0.0187129602,0.03538450656,0.04389039756,0.0238164948,0.03130167888,0.029940736319999998,0.03300285708,0.03708568476,0.024156730440000003,0.0136094256,0.0187129602,0.00816565536,0.017011782,0.00918636228,0.0006804712800000001,0.30314995524
Inner Mongolia,0.38109517956,0.07967481084000001,0.060156082079999985,0.10687303944,0.27358218180000005,,0.39645417924,0.04287720744,0.30206032704,0.02591831196000001,0.03071799936,0.03135795768,0.35389695096,0.024638395320000003,0.021118624559999997,0.22846512024,0.01215920808,0.01887877044,0.010559312279999998,0.01567897884,0.10367324784000002,0.023358478680000003,0.012479187240000002,0.011839228920000002,0.00991935396,0.007679499839999999,0.007039541520000001,0.23486470344000002,0.0047996874000000005,,0.36189642996
Liaoning,0.394827048,0.16475055911999995,0.09188702208,0.23797302984,0.07286353703999998,0.4199524055999999,,0.12275531855999998,0.39375024696,0.09439955783999998,0.06891526655999998,0.07645287383999999,0.05276325095999999,0.04630244472,0.07035100127999999,0.5685509491199998,0.03876483744,0.0664027308,0.025484291279999998,0.0340986996,0.03553443431999999,0.031586163839999994,0.0287146944,0.027637893359999995,0.043072041599999986,0.02979149544,0.01866455136,0.007537607279999999,0.00502507152,0.00251253576,0.3086829647999999
Jilin,0.11244636432,0.07810082207999999,0.04493149704,0.11573977248,0.04281430608,0.22442224175999995,0.5612908478399999,0.05716415592,0.45166740479999995,0.04446101016,0.0317578644,0.05128306991999999,0.03387505536,0.030581647200000006,0.0364627332,,0.02940543,0.052694530560000015,0.01717277112,0.023524344,0.017643258000000002,0.03269883816,0.016937527679999998,0.015526067040000001,0.02258337024,0.01717277112,0.01129168512,0.0094097376,0.00494011224,0.0009409737599999999,0.15690737447999994
Heilongjiang,0.10395458352000002,0.069516954,0.05475796992000001,0.12812509368000002,0.02823457824,0.25710578064,0.29111561352000004,0.05818034304000001,,0.038929494240000015,0.035934917760000004,0.06695017416000001,0.029090171520000006,0.028662374880000008,0.04106847744,0.4675817275200001,0.02117593368,0.04085457912,0.020106442080000002,0.01903695048,0.015828475680000002,0.048127122,0.013475594160000002,0.016042373999999998,0.02502610344,0.013475594160000002,0.00663084792,0.00385016976,0.0014972882400000006,0.0010694916,0.18823052160000006
Shanghai,0.10549068696,0.55830448476,0.04080300156,0.30552491412,0.08160600311999999,0.024879879000000004,0.08658197892000001,3.40257225204,0.06667807572000001,1.11760416468,0.2915921818800001,0.24481800936000006,0.12937537080000006,0.27268347384,,0.053740538640000016,0.16619759172,1.6092305737200003,0.32443362216,0.19008227555999999,0.06866846603999999,0.04577897736000001,0.14629368852000002,0.10549068696,0.11743302888,0.0696636612,0.028860659639999998,0.017913512880000003,0.006966366120000002,0.00298558548,0.21496215456000006
Jiangsu,0.26136436535999996,1.4445467618400003,0.07199257967999999,1.2536099200800002,0.22223796335999998,0.039126402000000005,0.11424909384,,0.0939033648,3.66379628328,0.45699637536,0.26762458968,0.29266548696000005,0.4929926652,3.00177756144,0.07199257967999999,0.27075470184,1.5728813604000005,0.40847963688,0.21128257080000004,0.15807066408,0.04225651416,0.20971751472000005,0.20502234648000006,0.31301121600000004,0.10016358912,0.04382157024000001,0.029736065519999997,0.023475841200000003,0.010955392560000004,0.2504089728
Zhejiang,0.16719396300000006,1.801979379,0.035090091000000004,0.35296503300000004,0.07637255100000001,0.026833599,0.086693166,1.779274026,0.08050079700000001,3.22003188,0.8380339379999999,0.319939065,0.22086116100000006,1.4139242549999995,1.581118218,0.05573132099999999,1.182742479,,2.997106596,0.588275055,0.08462904299999999,0.043346583,0.699737697,0.5284154879999999,1.993942818,0.200219931,0.022705352999999998,0.014448861000000004,0.0061923690000000005,,0.16719396300000006
Anhui,0.09317251476,0.7911089596800001,0.02686569444,0.23321709216000006,0.03601146276,0.01200382092,0.030866968080000005,2.17612124964,0.02229281028,,0.06973648344,0.11317888296,0.06459198876,0.22921581851999998,0.44642781612,0.01771992612,0.08917124112000001,0.62477029836,0.19949207147999998,0.0800254728,0.02400764184,0.01829153664,0.04458562056,0.03601146276,0.045157231080000006,0.027437304960000002,0.00914576832,0.0057161052,0.0040012736400000005,0.00228644208,0.12746914596
Fujian,0.052992798480000006,0.28210872132,0.02026195236,0.08884086803999999,0.03792621852,0.0103907448,0.028574548200000008,0.14183366652,0.02701593648,0.21249073116,0.4093953451199999,0.5013534366,0.07169613912,0.35692208388,0.11377865556,0.02026195236,0.34289457840000004,0.38757478104000004,0.8873696059199999,,0.03688714403999999,0.02493778752,0.31120280676,0.13611875688,0.4234228506,0.13456014515999998,0.0103907448,0.007273521360000002,0.0015586117199999998,0.00103907448,0.07741104876
Jiangxi,0.04929172704,0.14952926592000002,0.010586142720000002,0.07542626688,0.0215031024,0.0099245088,0.01852574976,0.13497331968,0.01885656672,0.21635429184,0.07509544992000003,0.50251096224,0.042344570880000015,0.33544839744000005,0.10519979328,0.012571044480000002,0.5038342300800001,0.3632370220800001,,0.2573755948800001,0.027788624639999995,0.028450258560000007,0.052599896640000005,0.043998655680000005,0.08667404352000001,0.066163392,0.0076087900799999995,0.006285522240000001,0.005623888320000001,0.00099245088,0.06649420896000001
Shandong,1.2234068215199998,1.2050848677600001,0.291485628,,0.20986965216,0.09743948135999997,0.2831574672,1.34333233704,0.2789933868,0.4522191314399999,0.21903062904,0.16739603207999995,0.1998758592,0.20070867528,0.22735878984000002,0.15240534264,0.10993172256,0.29898097272,0.10410201,0.11409580296,0.06995655071999997,0.04497206832,0.07995034367999998,0.08411442407999999,0.07745189544,0.060795573839999985,0.03247982712,0.02665011456,0.014990689439999996,0.0016656321599999998,0.6346058529599999
Henan,0.527982624,,0.08513719812000001,0.81111330612,0.41182644671999996,0.04421854476,0.0626979366,0.5213828412,0.042238609919999996,0.8348725242,0.1550948958,0.34516864044,0.36364803228,0.62169953976,0.19931344055999997,0.031018979159999994,0.17291430936000002,0.26861115996,0.09767678544,0.1187960904,0.06467787143999999,0.06533784972000001,0.07853741532000001,0.061377980039999995,0.058738066920000005,0.07193763252,0.042238609919999996,0.0230992398,0.021119304959999998,0.0026399131199999998,0.37882753272
Hubei,0.11065640688,0.6991046722800001,0.02297527092,0.13222502856,0.07314576047999999,0.025319686319999996,0.033759581760000004,0.19552424436000002,0.03141516636,0.2508524478,0.19411759512,0.36947986704,0.17348673960000002,,0.09658991447999998,0.0187553232,0.66909615516,0.17395562268,0.33196922064,0.11768965307999997,0.0539215542,0.040792827959999986,0.36244662084,0.07595905896,0.11487635460000001,0.11768965307999997,0.030008517119999998,0.0140664924,0.01078431084,0.0051577138799999995,0.12472289928
Hunan,0.08130741120000003,0.19333095552000007,0.015358066560000003,0.07498350144000003,0.030716133120000013,0.018068313600000004,0.029361009600000012,0.10569963456,0.02123026848,0.09395523072000002,0.11428208352000002,0.9833679676800002,0.0632390976,0.7141500950400003,0.06504592896000001,0.02258539200000001,,0.12964015008000002,0.4462873459200001,0.10931329728,0.027554178240000005,0.061432266240000026,0.17210068704000006,0.08311424256000001,0.3550423622400001,0.3401360035200001,0.02258539200000001,0.01038928032,0.008582448959999999,0.004065370560000001,0.10208597184
Guangdong,0.13625053092,1.3013316014399998,0.038928723120000015,0.19186299252,0.07229620008,0.030586853880000008,0.09454118472000002,0.28362355415999996,0.08341869240000001,0.417093462,1.8157468712400002,,0.30586853880000003,2.38577460264,0.22801109255999996,0.05839308467999999,5.58071052156,0.34479726192000004,2.86126114932,0.8036000701200001,0.08341869240000001,0.23635296180000004,1.00380493188,0.6590076699600002,1.5627101709600002,5.58627176772,0.030586853880000008,0.0139031154,0.011122492320000002,,0.26137856952
Guangxi,0.06061282164,0.10204870536,0.0136978128,0.0633523842,0.02157405516,0.009588468959999999,0.02671073496,0.0565034778,0.016779820679999998,0.04486033692,0.136978128,1.18383347124,0.04349055563999999,0.11882852604,0.0325323054,0.015752484719999998,0.46264362732000003,0.060955266960000004,0.09828180684,0.07910486891999999,0.016094930039999997,0.0462301182,0.08115954084,0.2157405516,0.34039064808,,0.00582157044,0.00410934384,0.0047942344799999995,,0.0479423448
Hainan,0.0434541348,0.0659618154,0.0199056366,0.033826572,0.0197755344,0.0119694024,0.0219872718,0.035127594,0.0205561476,0.0313546302,0.10069910279999998,0.28284218279999995,0.0323954478,0.0504796536,0.038380149,0.016002570600000002,0.07246692539999999,0.0387704556,0.0460561788,0.0321352434,0.0119694024,,0.0454056678,0.0219872718,0.0430638282,0.07415825399999999,0.010408176,0.0044234748,0.0033826571999999995,0.00026020439999999996,0.06531130439999999
Chongqing,0.047651940360000006,0.09358669367999999,0.012020309280000002,0.05108631444,0.030050773199999995,0.01159101252,0.014166793080000002,0.06911677835999999,0.0085859352,0.04035389544,2.10956427864,0.13351129236,0.09186950663999999,0.2919217968,0.045505456560000004,0.00901523196,0.1330819956,0.06096013992,0.045505456560000004,0.045934753319999994,0.0386367084,0.040783192200000006,,0.14896597572,0.53318657592,0.06010154639999999,0.02532850884,0.012449606039999998,0.012020309280000002,0.008156638439999999,0.05709646908
Sichuan,0.10019591784,0.17519637096000004,0.02812516992,0.09082086119999999,0.06621133752000001,0.02402358264,0.039843990720000014,0.11074285656000002,0.025781405760000004,0.061523809200000015,,0.26836099632000004,0.307619046,0.18164172239999998,0.08261768664000001,0.0205079364,0.11191473864,0.09199274328000002,0.07207074792000001,0.07148480687999999,0.15996190392000004,0.07265668896000001,1.9757931868800005,0.7951219912800002,0.49687800192,0.10078185888,0.06445351440000001,0.02226575952,0.045703401120000015,0.047461224240000016,0.13066485192000002
Guizhou,0.02412172872,0.06575649336,0.006939127440000001,0.0264347712,0.011565212399999998,0.00363478104,0.006939127440000001,0.043286937840000005,0.007930431359999999,0.02742607512,0.6063475643999999,0.19132165656,0.036678245039999995,0.09516517632000002,0.03006955224,0.00462608496,0.396521568,0.07236518616,0.06079997376,0.06906083975999999,0.008260866,0.032052160079999996,0.5498432409599999,0.61857364608,,0.25476510744,0.0029739117600000005,0.0009913039199999998,0.0016521732,0.00033043464,0.03932172216
Yunnan,0.04583080116000001,0.08027878896000001,0.012880551960000002,0.04343441940000001,0.02306517444,0.009585527040000002,0.018871506359999998,0.050623564680000004,0.011682361080000002,0.03265070148,0.8342404002000001,0.13719285575999998,0.048227182920000014,0.08567064792000001,0.031152962880000006,0.008387336160000002,0.13779195119999998,0.07428783456,0.056614519080000016,0.059909544000000016,0.015876029160000003,0.016475124600000002,0.19021280220000006,,0.71382221676,0.18032772744000003,0.0077882407200000016,0.004193668080000001,0.0035945726399999995,0.00629050212,0.047028992040000016
Tibet,0.004788558000000001,0.0130887252,0.0006703981200000001,0.003543532920000001,0.0022665841200000003,0.0007661692800000001,0.0012450250800000002,0.002458126440000001,0.0008619404400000001,0.003415838040000001,0.14008128336000006,0.0021708129600000003,0.01969693524,0.004852405440000001,0.0011173302,0.0007342455600000003,0.005012024040000002,0.0017877283200000004,0.0016600334400000002,0.0008619404400000001,0.014206055400000002,0.0005427032400000001,0.01960116408,0.01411028424,0.003256219440000001,0.0003830846400000001,0.0010854064800000002,0.0005746269600000001,0.050758714800000014,,0.0031285245600000005
Shaanxi,0.18228707855999998,0.5134720183200001,0.03474283428,0.17281176012000002,0.49046053068000006,0.33163614539999997,0.04151091888,0.16288523604000002,0.02616992712,0.12814240176,0.4439863497600001,0.11641105512,,0.22876125948000006,0.06587602344000001,0.02301148764,0.07399772496,0.08076580956000001,0.05279105988,0.05955914448000001,0.5306178326400001,0.03654765684000001,0.11370382128000002,0.0518886486,0.04602297528000001,0.037450068120000006,0.06271758396,0.18093346164,0.04647418092,0.007670495880000002,0.15476353452000002
Gansu,0.05018553935999999,0.10736414567999998,0.01295774172,0.04278111552,0.035788048559999994,0.07342720307999998,0.01295774172,0.07342720307999998,0.006170353199999999,0.026326840319999996,0.16659953639999994,0.034553977919999986,0.5814529498800001,0.044220864599999986,0.02591548344,0.006170353199999999,0.025709805,0.03002905224,0.01378045548,0.01995080868,,0.017276988959999996,0.039078903599999985,0.0195394518,0.01604291832,0.01295774172,0.07980323471999999,0.21061472255999997,0.2097920088,0.0076101022799999985,0.049774182479999984
Qinghai,0.015777581760000003,0.046329932880000015,0.0017382081600000002,0.01811747736,0.009961269840000002,0.006551707679999999,0.00240674976,0.014908477680000002,0.001671354,0.00956014488,0.06157268136000001,0.01163262384,0.06123841056000001,0.012167457120000004,0.0034764163200000004,0.0013370832000000005,0.009225874080000002,0.0074208117600000015,0.0029415830400000005,0.00481349952,0.27269811864000004,0.004612937040000001,0.014173081920000004,0.00474664536,0.004011249600000001,0.00240674976,0.01076351976,0.01129835304,,0.02507031,0.01457420688
Ningxia,0.04084426296,0.056474609399999987,0.00444951468,0.02350256472,0.025213916519999997,0.20627493696,0.005704505999999999,0.023844835079999998,0.00319452336,0.014603535359999998,0.02578436712,0.014603535359999998,0.23742153971999996,0.016771247639999997,0.013348544039999995,0.0034227036,0.007301767679999999,0.014489445239999997,0.005362235639999997,0.006731317079999999,0.29788930332,0.006959497319999997,0.01220764284,0.006731317079999999,0.00319452336,0.00444951468,0.010382200920000001,,0.014489445239999997,0.00079863084,0.031831143480000004
Xinjiang,0.04152492863999999,0.15667464852,0.008605495080000001,0.05696018172,0.01966970304,0.0314168868,0.009288470880000002,0.041388333480000004,0.0081957096,0.02431393848,0.14328832284,0.031553481960000004,0.10285615548000003,0.0314168868,0.020762464319999997,0.0047808306,0.02226501108,0.02690924652,0.007512733800000002,0.01652801436,0.372221811,0.01666460952,0.04125173832,0.012293564400000002,0.006829758000000001,0.005190616079999999,,0.02035267884,0.03783685932,0.0010927612800000002,0.0437104512
Taiwan,0.00038572199999999996,0.0012265959599999999,0.00019286099999999998,0.00090258948,0.00022371876,3.0857760000000005e-05,0.00125745372,0.007321003559999999,0.00025457652,0.0013885992000000002,0.00116488044,0.01819064952,0.00070972848,0.00064801296,0.00927275688,0.0012265959599999999,0.00051686748,0.005862974399999999,0.0011957382,0.014526290519999999,0.00028543428,0.00028543428,0.00093344724,0.00044743752,0.00041657976,0.0008100162000000001,3.0857760000000005e-05,0.00012343104000000002,,,0.0013268836800000002
Hong Kong,0.0009293356800000002,0.0006389182800000001,0.0009874191600000002,0.002613756600000001,0.00029041740000000004,0.00011616696000000005,0.0015101704800000002,0.0037754262000000006,0.00017425043999999998,0.0007550852400000001,0.0016263374400000007,0.5059071108000001,0.00040658436000000017,0.0018586713600000004,0.009061022880000002,5.808348000000001e-05,0.0026718400800000005,0.006040681920000001,0.0011035861199999999,0.010280775960000002,,0.0020329218000000003,0.0015682539600000006,0.00034850087999999997,0.0011616696,0.0030203409600000003,,,,,0.007841269800000002
Macau,0.00259142976,0.0032392872,0.00183559608,0.00199756044,0.00226750104,0.00048589308,0.0021595248,0.007612324919999998,0.0007018455599999999,0.0030773228399999988,0.00264541788,0.4418927621999999,0.0022135129199999997,0.005236847639999999,0.01122952896,0.00102577428,0.006478574399999999,0.007990241759999999,0.004804942679999999,0.00394113276,0.0005398811999999999,0.0016196435999999998,0.00145767924,0.0005938693199999999,0.0008098217999999999,0.00372518028,0.0002699406,0.00010797624,,,0.007450360559999998
